energy,makespan
1.7476299259070367e8,4631.358289521019
1.747629925907031e8,4631.358289521013
1.7476299259070253e8,4631.358289520998
1.7476299259070188e8,4631.358289520967
1.7476299259070155e8,4631.3582895209365
1.7476299259070122e8,4631.3582895209465
1.7476299259070066e8,4631.358289520889
1.7476299259070003e8,4631.358289520856
1.7476299259069908e8,4631.358289520759
1.7476299259069872e8,4631.3582895208265
1.747629925906983e8,4631.3582895207555
1.7476299259069738e8,4631.358289520731
1.747629925906967e8,4631.358289520666
1.7476299259069633e8,4631.3582895206655
1.7476299259069613e8,4631.358289520596
1.7476299259069553e8,4631.358289520619
1.7476299259069458e8,4631.358289520515
1.7476299259069425e8,4631.358289520541
1.7476299259069368e8,4631.358289520517
1.74762992590693e8,4631.358289520497
1.7476299259069273e8,4631.358289520409
1.7476299259069172e8,4631.358289520426
1.747629925906907e8,4631.358289520358
1.7476299259068987e8,4631.358289520315
1.7476299259068942e8,4631.358289520307
1.7476299259068885e8,4631.358289520257
1.7476299259068757e8,4631.358289520164
1.7476299259068725e8,4631.358289520145
1.7476299259068686e8,4631.358289520203
1.7476299259068623e8,4631.358289520158
1.7476299259068584e8,4631.358289520128
1.7476299259068525e8,4631.358289520098
1.747629925906846e8,4631.358289520051
1.7476299259068415e8,4631.358289520046
1.7476299259068406e8,4631.358289520027
1.7476299259067097e8,4631.3582895266345
1.7476299259066093e8,4631.358289518724
1.7476299259066075e8,4631.358289518679
1.7476299259066024e8,4631.358289518659
1.747629925906598e8,4631.3582895185955
1.7476299259065875e8,4631.358289518553
1.74762992590658e8,4631.358289518506
1.7476299259065694e8,4631.358289518465
1.7476299259065658e8,4631.358289518442
1.747629925906556e8,4631.358289518384
1.74762992590653e8,4631.358289518235
1.747629925906524e8,4631.35828951814
1.7476299259065187e8,4631.35828951817
1.74762992590651e8,4631.358289518151
1.7476299259064952e8,4631.358289517978
1.74762992590648e8,4631.358289517943
1.7476299259064746e8,4631.358289517896
1.747629925906456e8,4631.358289517802
1.7476299259064317e8,4631.358289517638
1.7476299259064215e8,4631.3582895176105
1.7476299259064117e8,4631.358289517527
1.7476299259064063e8,4631.358289517464
1.7476299259063947e8,4631.358289517402
1.7476299259063786e8,4631.358289517324
1.7476299259063676e8,4631.358289517283
1.7476299259063473e8,4631.358289517173
1.7476299259063393e8,4631.35828951709
1.7476299259063327e8,4631.358289517047
1.747629925906328e8,4631.35828951702
1.747629925906297e8,4631.358289516881
1.7476299259062934e8,4631.358289516803
1.747629925906269e8,4631.358289516701
1.7476299259061974e8,4631.358289516297
1.747629925906196e8,4631.35828951627
1.7476299259061444e8,4631.358289516027
1.7476299259061214e8,4631.358289515826
1.74762992590609e8,4631.358289510836
1.747629925906089e8,4631.3582895109985
1.7476299259060842e8,4631.358289510809
1.7476299259060735e8,4631.358289509208
1.7476299259060666e8,4631.358289509207
1.747629925906065e8,4631.358289509208
1.7476299259059852e8,4631.358289514949
1.7476299259059447e8,4631.358289514717
1.7476299259058812e8,4631.3582895099835
1.7476299259058768e8,4631.358289509038
1.7476299259058723e8,4631.358289509034
1.7476299259058675e8,4631.358289509026
1.7476299259058607e8,4631.358289509006
1.747629925905856e8,4631.358289509026
1.7476299259058517e8,4631.358289508993
1.7476299259058475e8,4631.358289508964
1.747629925905843e8,4631.3582895089885
1.7476299259058368e8,4631.35828950898
1.7476299259058326e8,4631.358289509001
1.7476299259058282e8,4631.358289508997
1.7476299259058225e8,4631.358289508959
1.7476299259058186e8,4631.3582895089685
1.747629925905814e8,4631.358289508961
1.7476299259058085e8,4631.358289508972
1.7476299259058064e8,4631.3582895089485
1.7476299259058017e8,4631.3582895089585
1.7476299259057975e8,4631.358289508958
1.7476299259057918e8,4631.358289508949
1.747629925905788e8,4631.358289508939
1.7476299259057826e8,4631.358289508939
1.7476299259057775e8,4631.3582895089285
1.747629925905773e8,4631.358289508939
1.7476299259057686e8,4631.358289508929
1.7476299259057647e8,4631.3582895089185
1.7476299259057587e8,4631.358289508897
1.7476299259057537e8,4631.358289508902
1.7476299259057492e8,4631.358289508891
1.7476299259057444e8,4631.358289508899
1.7476299259057394e8,4631.358289508896
1.747629925905735e8,4631.358289508881
1.7476299259057298e8,4631.358289508887
